"teams","seed","year","playoffwins","season","allstar","playoffpct"
"Boston Celtics",6,2003,4,0.537,0.515151515151515,0.4
"Dallas Mavericks",3,2003,10,0.732,0.647058823529412,0.5
"Detroit Pistons",1,2003,8,0.61,0.514285714285714,0.470588235294118
"Indiana Pacers",3,2003,2,0.585,0.424242424242424,0.333333333333333
"Los Angeles Lakers",5,2003,6,0.61,0.742857142857143,0.5
"Milwaukee Bucks",7,2003,2,0.512,0.5,0.333333333333333
"Minnesota Timberwolves",4,2003,2,0.622,0.666666666666667,0.333333333333333
"New Jersey Nets",2,2003,14,0.598,0.454545454545455,0.7
"New Orleans Hornets",5,2003,2,0.573,0.65625,0.333333333333333
"Orlando Magic",8,2003,3,0.512,0.5625,0.428571428571429
"Philadelphia 76ers",7,2003,6,0.585,0.696969696969697,0.5
"Phoenix Suns",8,2003,2,0.537,0.46875,0.333333333333333
"Portland Trail Blazers",6,2003,3,0.61,0.529411764705882,0.428571428571429
"Sacramento Kings",2,2003,7,0.72,0.806451612903226,0.583333333333333
"San Antonio Spurs",1,2003,16,0.732,0.818181818181818,0.666666666666667
"Utah Jazz",7,2003,1,0.573,0.545454545454545,0.2
"Boston Celtics",8,2004,0,0.439,0.464285714285714,0
"Dallas Mavericks",5,2004,1,0.634,0.633333333333333,0.2
"Denver Nuggets",8,2004,1,0.524,0.428571428571429,0.2
"Detroit Pistons",3,2004,16,0.659,0.75,0.695652173913043
"Houston Rockets",7,2004,1,0.549,0.5,0.2
"Indiana Pacers",1,2004,10,0.744,0.758620689655172,0.625
"Los Angeles Lakers",2,2004,13,0.683,0.78125,0.590909090909091
"Memphis Grizzlies",6,2004,0,0.61,0.666666666666667,0
"Miami Heat",4,2004,6,0.512,0.714285714285714,0.461538461538462
"Milwaukee Bucks",6,2004,1,0.5,0.451612903225806,0.2
"Minnesota Timberwolves",1,2004,10,0.707,0.7,0.555555555555556
"New Jersey Nets",2,2004,7,0.573,0.516129032258065,0.636363636363636
"New Orleans Hornets",5,2004,3,0.5,0.433333333333333,0.428571428571429
"New York Knicks",7,2004,0,0.476,0.5,0
"Sacramento Kings",4,2004,7,0.671,0.5625,0.583333333333333
"San Antonio Spurs",3,2004,6,0.695,0.758620689655172,0.6
"Boston Celtics",3,2005,3,0.549,0.620689655172414,0.428571428571429
"Chicago Bulls",4,2005,2,0.573,0.636363636363636,0.333333333333333
"Dallas Mavericks",4,2005,6,0.707,0.741935483870968,0.461538461538462
"Denver Nuggets",7,2005,1,0.598,0.862068965517241,0.2
"Detroit Pistons",2,2005,15,0.659,0.709677419354839,0.6
"Houston Rockets",5,2005,3,0.622,0.655172413793103,0.428571428571429
"Indiana Pacers",6,2005,6,0.537,0.612903225806452,0.461538461538462
"Memphis Grizzlies",8,2005,0,0.549,0.517241379310345,0
"Miami Heat",1,2005,11,0.72,0.678571428571429,0.733333333333333
"New Jersey Nets",8,2005,0,0.512,0.655172413793103,0
"Philadelphia 76ers",7,2005,1,0.524,0.586206896551724,0.2
"Phoenix Suns",1,2005,9,0.756,0.75,0.6
"Sacramento Kings",6,2005,1,0.61,0.586206896551724,0.2
"San Antonio Spurs",2,2005,16,0.72,0.620689655172414,0.695652173913043
"Seattle SuperSonics",3,2005,6,0.634,0.53125,0.545454545454545
"Washington Wizards",5,2005,4,0.549,0.5,0.4
"Chicago Bulls",7,2006,2,0.5,0.6,0.333333333333333
"Cleveland Cavaliers",4,2006,7,0.61,0.633333333333333,0.538461538461538
"Dallas Mavericks",4,2006,14,0.732,0.633333333333333,0.608695652173913
"Denver Nuggets",3,2006,1,0.537,0.571428571428571,0.2
"Detroit Pistons",1,2006,10,0.78,0.709677419354839,0.555555555555556
"Indiana Pacers",6,2006,2,0.5,0.454545454545455,0.333333333333333
"Los Angeles Clippers",6,2006,7,0.573,0.548387096774194,0.583333333333333
